trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-126.48495567826656,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-212.72184536619167,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-76.95854867491857,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-161.7097255940215,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-110.9329440674867,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-112.53657562431691,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-152.2533711428345,"{0: 20, 1: 1, 2: 4, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-184.4700729739867,"{0: 24, 1: 2, 2: 4, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-44.59093629183406,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-161.69293639403978,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-132.1205237312024,"{0: 21, 1: 2, 2: 1, 3: 5, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-38.03763394864612,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,15,2.3565010468464784,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-79.5458984512181,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,16,14.308244759018375,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,6,-70.00332077408827,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,18,-61.09013769831515,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,2.203278026685851,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,17,15.640348282714005,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,9,-79.72148066997121,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",25,16,-27.973670799647014,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,4,-20.970875686180033,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",30,12,-47.37999323058349,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",35,0,8.967927004866306,"{0: 32, 1: 0, 2: 2, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,16,26.532679566869337,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,9,16.123083497438625,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-95.5654952306241,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",25,0,-70.8719636617025,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,15,10.429753590806616,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,16,10.581656060776742,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
