trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9900498337491681}",25,0,-94.96893003023354,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.9801986733067553}",25,0,-69.18989536173983,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.3, 'e': 0.9704455335485082}",20,0,-60.55392208690091,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.3, 'e': 0.9607894391523232}",20,0,-125.72728125546698,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.3, 'e': 0.951229424500714}",20,0,-76.50636634376525,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.3, 'e': 0.9417645335842487}",20,0,-54.883101907848285,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.3, 'e': 0.9323938199059483}",20,0,-98.03920782673933,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.3, 'e': 0.9231163463866358}",20,10,-46.357668340909264,"{0: 5, 1: 1, 2: 3, 3: 1, 4: 0}",1
9,False,"{'a': 0.3, 'e': 0.9139311852712282}",25,0,-88.29301988480411,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.3, 'e': 0.9048374180359595}",25,0,-100.36864435553238,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.3, 'e': 0.8958341352965282}",25,0,-56.017501269224965,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.8869204367171575}",25,0,-73.66844009421132,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.3, 'e': 0.8780954309205613}",20,0,-102.91399922366338,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.3, 'e': 0.8693582353988059}",25,0,-216.12151410838428,"{0: 13, 1: 0, 2: 7, 3: 2, 4: 3}",0
15,False,"{'a': 0.3, 'e': 0.8607079764250578}",20,0,-47.613383680366816,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.3, 'e': 0.8521437889662113}",25,3,-165.17970042528535,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 3}",1
17,False,"{'a': 0.3, 'e': 0.8436648165963837}",20,0,-52.525825358943585,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.3, 'e': 0.835270211411272}",30,0,-154.6523848885926,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
19,False,"{'a': 0.3, 'e': 0.8269591339433623}",35,6,-148.3966142952683,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 2}",1
20,False,"{'a': 0.3, 'e': 0.8187307530779818}",20,0,-104.79059960391712,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.3, 'e': 0.8105842459701871}",20,0,-60.14036309938364,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
22,False,"{'a': 0.3, 'e': 0.8025187979624785}",25,0,-70.41998285107964,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.3, 'e': 0.794533602503334}",25,0,-25.76409762656541,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.3, 'e': 0.7866278610665535}",25,0,-10.259275683730895,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
25,False,"{'a': 0.3, 'e': 0.7788007830714049}",25,0,-80.89118508301955,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
26,False,"{'a': 0.3, 'e': 0.7710515858035663}",20,12,-22.20653889245711,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
27,False,"{'a': 0.3, 'e': 0.7633794943368531}",30,0,-68.39471448854754,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
28,False,"{'a': 0.3, 'e': 0.7557837414557255}",25,0,-87.68462470738352,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.3, 'e': 0.7482635675785653}",25,0,-29.287042433487255,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.3, 'e': 0.7408182206817179}",20,0,-40.4441046434088,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
31,False,"{'a': 0.3, 'e': 0.7334469562242892}",25,0,-76.489727898045,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
32,False,"{'a': 0.3, 'e': 0.7261490370736909}",30,18,6.622158584231037,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.3, 'e': 0.7189237334319262}",20,0,-127.94287069227383,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
34,False,"{'a': 0.3, 'e': 0.7117703227626097}",25,0,-66.52766601545453,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.3, 'e': 0.7046880897187134}",25,0,-42.355392390475444,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
36,False,"{'a': 0.3, 'e': 0.697676326071031}",35,0,-172.21926726663293,"{0: 23, 1: 5, 2: 3, 3: 1, 4: 3}",0
37,False,"{'a': 0.3, 'e': 0.6907343306373547}",30,0,-50.217166083676666,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
38,False,"{'a': 0.3, 'e': 0.6838614092123558}",20,0,-23.504356603188423,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
39,False,"{'a': 0.3, 'e': 0.6770568744981647}",25,0,-145.07424924921762,"{0: 17, 1: 0, 2: 3, 3: 3, 4: 2}",0
40,False,"{'a': 0.3, 'e': 0.6703200460356393}",20,13,-2.590840653491045,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.3, 'e': 0.6636502501363194}",25,0,-63.11083755100665,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
