trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.88571458338626,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.96987366826244,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.38900558428315,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.33211885438489,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.05526641632555,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.9575857439708,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-101.30877483376436,"{0: 16, 1: 5, 2: 8, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.65231699631583,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.19958742970591,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.538876650596336,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-238.93759806895358,"{0: 18, 1: 5, 2: 7, 3: 2, 4: 3}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.48326530550432,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-119.38011520180773,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-255.40216378274692,"{0: 19, 1: 2, 2: 10, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.30173116845714,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.08028339420403,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,1,-228.08887217915847,"{0: 14, 1: 2, 2: 8, 3: 2, 4: 3}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.76827222503385,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.54851872623723,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-190.61405534447,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-116.79491899583317,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-76.53084319862205,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-64.09830141548179,"{0: 22, 1: 0, 2: 7, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.79399835916327,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,9,-14.12002762357273,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.55442605903602,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-170.1686406098656,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-53.84001160925223,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-162.63252935721357,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.02287087848248,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
